night sleeping,times  waking up,naps,day,age,food,milk,waking up during night,tv,park
21.5,07:00:00,1,2024-06-01,18,rise and chicken,250,2,no,yes
21.0,07:30:00,2,2024-06-02,18,pizza,70,1,no,yes
21.75,08:00:00,2,2024-06-03,18,rise and ghorme sabzi,0,1,no,yes
20.5,07:30:00,1,2024-06-04,18,chicken,240,2,no,yes
21.5,08:30:00,2,2024-06-05,19,lamp,200,2,yes,no
21.5,08:00:00,2,2024-06-06,19,piza,70,1,yes,yes
21.5,08:00:00,2,2024-06-07,19,potato ,70,1,no,no
21.5,08:30:00,2,2024-06-08,19,bread,50,1,no,no
20.5,07:30:00,1,2024-06-09,19,rise,250,3,no,yes
21.5,07:00:00,2,2024-06-10,19,lamb and ris,200,2,yes,yes
20.5,07:00:00,2,2024-06-11,19,lamb,100,1,no,yes
21.75,08:00:00,1,2024-06-12,19,chicken,150,1,no,yes
21.0,07:30:00,1,2024-06-13,19,fish,250,3,yes,no
21.5,08:30:00,1,2024-06-14,19,pizza,100,2,yes,no
20.5,08:30:00,1,2024-06-15,19,pasta,100,3,yes,yes
20.0,08:00:00,1,2024-06-16,19,pasta,160,2,yes,yes
21.0,08:00:00,1,2024-06-17,19,lamb,200,2,no,yes
21.0,08:30:00,2,2024-06-18,19,fish,60,1,no,yes
21.5,08:00:00,1,2024-06-19,19,rise and ghorme sabzi,50,1,no,no
22.0,08:00:00,2,2024-06-20,19,potato ,200,2,no,yes
22.0,07:30:00,2,2024-06-21,19,rise and chicken,100,1,no,yes
22.0,08:30:00,2,2024-06-22,19,pizza,100,1,yes,no
23.0,1900-01-08 00:00:00,2,2024-06-23,19,lamb and ris,150,2,yes,yes
22.5,07:30:00,1,2024-06-24,19,pasta,100,3,no,yes
21.5,08:00:00,1,2024-06-25,19,rise and chicken,250,4,yes,yes
22.0,08:00:00,1,2024-06-26,19,potato ,250,3,yes,yes
21.5,07:30:00,2,2024-06-27,19,kotlet,120,1,no,yes
23.0,08:30:00,2,2024-06-28,19,lobia polo,120,1,no,yes
